Question,Answer
What does the ' running an analysis on a netlist ' section cover?,running analysis netlist run analysis netlist created hand perhaps third party schematic entry program run netlist synchronous mode select command shell menu simulator run netlist locate netlist le run netlist asynchronous mode select command shell menu simulator run netlist asynchronous locate netlist le see running analyses asynchronous mode information running asynchronous analyses
What does the ' simulation and multicore processors ' section cover?,multicore processors simetrix exploit multiple core cpus number ways benet multiple core processors note however require simetrix pro simetrix elite license able use multiple core features note also simetrix effectively use hyperthreading information see following sections simulation multicore processors using multiple cores multistep analyses multicore multistep simplis analyses
What does the ' transient analysis ' section cover?,transient analysis simplis transient analysis similar simetrix transient analysis
What does the ' setting up a transient analysis' section cover?,transient analysis simplis transient analysis similar simetrix transient analysis
What does the ' restarting a transient run ' section cover?,restarting transient run transient analysis run completion reached stop time still possible restart analysis carry previously stopped restart transient run select menu simulator restart transient new stop time box enter time wish restarted analysis stop click ok start run see also simulator reference manualcommand referencetran
What does the ' transient snapshots' section cover?,transient snapshots overview often need investigate circuit set circuit conditions achieved transient run
What does the ' operating point ' section cover?,operating point specify dc operating point analysis check dcop note operating point performed automatically analysis modes useful analysis specied
What does the ' sweep modes' section cover?,sweep modes
What does the ' device sweep' section cover?,dc sweep following result dc sweep v restail set k analysis parameters follows sweep mode device v sweep range
What does the ' temperature' section cover?,temperature global circuit temperature swept
What does the ' model parameter' section cover?,model parameter similar device sweep except applied named model parameter model name parameter name must specied special note recommended model parameter swept also specied model parameter list cases isnt actually necessary instances terminal resistance parameters necessary
What does the ' parameter' section cover?,optimiser gui description click new parameter button create new parameter delete existing parameter select parameter row press delete button
What does the ' frequency' section cover?,fixed probes start freqhz start frequency display stop freqhz stop frequency display log xaxis check specify logarithmic xaxis force minimum value start frequency equal time interval analysed signal info signal analysed repetitive frequency signal known exactly much better result obtained specied check know fundamental frequency box enter frequency fourier spectrum calculated using integral number complete cycles fundamental frequency substantially reduces spectral leakage spectral leakage occurs fourier algorithms work assumption signal analysed repetition analysed time interval analysed time interval contain whole number cycles fundamental frequency poor approximation spectrum error practice problem minimised using window function applied signal prior fourier calculation using whole number cycles reduces problem note fundamental frequency necessarily lowest frequency circuit largest frequency frequencies circuit integral harmonics example two sine wave generators khz
What does the ' monte carlo' section cover?,multistep monte carlo
What does the ' sensitivityworstcase ' section cover?,sensitivityworstcase example
What does the ' setting up a swept analysis' section cover?,setting swept analysis ac dc noise transfer function analysis sheets select dene button sweep parameters box bring following dialog
What does the ' dc sweep' section cover?,dc sweep following result dc sweep v restail set k analysis parameters follows sweep mode device v sweep range
What does the ' setting up a dc sweep ' section cover?,dc sweep following result dc sweep v restail set k analysis parameters follows sweep mode device v sweep range
What does the ' example' section cover?,example
What does the ' ac sweep' section cover?,ac sweep
What does the ' setting up an ac sweep' section cover?,ac sweep
What does the ' example' section cover?,example
What does the ' noise analysis ' section cover?,noise analysis
What does the ' setting up an ac noise analysis' section cover?,noise analysis
What does the ' plotting results of noise analysis ' section cover?,plotting results noise analysis refer plotting noise analysis results
What does the ' example' section cover?,example
What does the ' example' section cover?,example
What does the ' real time noise' section cover?,real time noise
What does the ' setting up a real time noise analysis' section cover?,real time noise
What does the ' transfer function' section cover?,transfer function results
What does the ' setting up a transfer function analysis' section cover?,transfer function results
What does the ' plotting transfer function analysis results' section cover?,plotting transfer function analysis results see plotting transfer function analysis results
What does the ' example' section cover?,example
What does the 'dc sensitivity' section cover?,dc sensitivity waveforms created single analysis
What does the ' setting up a dc sensitivity analysis' section cover?,dc sensitivity standalone analysis mode confused sensitivityworstcase sweep mode multistep mode control instructs simulator perform dc sensitivity analysis analysis mode dc operating point rst calculated linearised sensitivity specied circuit voltage current every model device parameter evaluated results written list le also placed new data group latter allows data viewed message window type display command line also accessed scripts analysis analysis mode performs similar analysis sensitivity sweep applied dc analysis however differs calculates sensitivity every parameter circuit distribution function applied also way analysis performed different sensitivity sweep perturbs parameter performs full nonlinear dc analysis case analysis mode uses matrix arithmetic calculate approximation true sensitivity
What does the 'convergence' section cover?,convergence
What does the ' convergence options' section cover?,convergence
What does the ' convergence failure report' section cover?,convergence
What does the ' convergence static analysis' section cover?,convergence static analysis convergence static analysis feature performs analysis circuit identify items give trouble could lead convergence failure static analysis automatically performed part convergence failure report may also run simulation using menu simulator convergence static audit run simulation dummy run simulation required prompted whether would like performed load circuit simulator actually start run static analysis identify following potential problems code description ifdiscontinuity arbitrary source expression form ifexpression constant constant discontinuous switch abruptly one value another time denition lead convergence failure sgndiscontinuity use sgn sign function arbitrary source discontinuous although depends used reported inneon mosfet igbt model safely ignored stpdiscontinuity use u stp functions arbitrary source discontinuous depends used floordiscontinuity use oor function arbitrary source discontinuous often gives convergence problems
What does the 'data handling and keeps' section cover?,data handling keeps
What does the ' scope options ' section cover?,simulation options
What does the ' signals options ' section cover?,signals options signals classed voltages currents digital digital signals created event driven simulator cases veriloghdl interface digital signals generally take much less
What does the ' to add a voltage keep to a schematic ' section cover?,add voltage keep schematic part selector navigate probes connectors keeps voltage keep place device desired schematic net
What does the ' to add a current keep to a schematic ' section cover?,add current keep schematic part selector navigate probes connectors keeps current keep place device directly device pin
What does the 'simulator options' section cover?,setting simulator options select menu simulator choose analysis select options tab following displayed
What does the ' setting simulator options ' section cover?,setting simulator options select menu simulator choose analysis select options tab following displayed
What does the 'multistep analyses ' section cover?,multistep analyses
What does the ' setting up a multistep analysis' section cover?,setting multistep sensitivity analysis select schematic menu simulator choose analysis select ac dc noise transient tf tab required dene analysis required monte carlo multistep analysis group check enable multistep box press dene button open
What does the ' using multiple cores for multistep analyses ' section cover?,multistep analyses
What does the ' example' section cover?,example
What does the ' example' section cover?,example
What does the 'safe operating area testing' section cover?,safe operating area testing
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' dening simple limit tests' section cover?,dening simple limit tests schematic symbols three schematic symbols provided allow denition simple limit tests report following voltage single node
What does the ' advanced soa limit testing' section cover?,overview safe operating area soa separate analysis mode feature enabled dc transient analyses soa testing set maximum minimum limits simulation quantity simulator display limits violated use soa testing must two things dene soa limits models devices using enable congure soa testing item covered detail simulator reference manual see section titled simulator reference manualcommand referencesetsoa also limit parameter described section titled simulator reference manualcommand referencemodel setting simple limit tests using simple schematic symbols described
What does the 'simplis analysis modes' section cover?,analysis modes
What does the ' transient analysis ' section cover?,transient analysis simplis transient analysis similar simetrix transient analysis
What does the ' setting up a transient analysis' section cover?,transient analysis simplis transient analysis similar simetrix transient analysis
What does the ' periodic operating point pop ' section cover?,periodic operating point pop periodic operating point pop nds steady state operating point switched systems periodically driven selfoscillating predominant application analysis mode rapidly nd settled condition switching power supply without simulate entire power sequence dramatically speeds analysis designs behaviour different load conditions details pop analysis see simplis reference manual
What does the ' setting up a pop analysis ' section cover?,setting pop analysis select menu simulator choose analysis select pop check box right select pop tab top
What does the ' ac analysis ' section cover?,analysis modes ac analysis setup ac analysis select ac sheet check ac box select analysis enter parameters sweep parameters section meaning equivalent simetrix analysis
What does the ' setting up an ac analysis ' section cover?,analysis modes ac analysis setup ac analysis select ac sheet check ac box select analysis enter parameters sweep parameters section meaning equivalent simetrix analysis
What does the ' simplis options' section cover?,simplis example
What does the ' multistep and monte carlo ' section cover?,multistep monte carlo
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' comparison between simetrix and simplis ' section cover?,comparison simetrix simplis multistep analysis modes offered simetrix simulation mode achieve end result simplis multistep modes method implementation quite different simetrix multistep analyses implemented within simulator simplis multistep analyses implemented front end using scripting language different approaches trade speed exibility approach used simplis exible used simetrix faster
What does the ' setting up a simplis multistep parameter analysis ' section cover?,setting multistep sensitivity analysis select schematic menu simulator choose analysis select ac dc noise transient tf tab required dene analysis required monte carlo multistep analysis group check enable multistep box press dene button open
What does the ' setting up a simplis monte carlo analysis ' section cover?,multistep monte carlo
What does the ' multicore multistep simplis analyses ' section cover?,multistep analyses
What does the ' tolerances and distribution functions ' section cover?,tolerances distribution functions distribution functions tolerances dened using distribution functions simplis monte carlo three functions available dened function name description gausstol returns random mean
What does the ' monte carlo log file ' section cover?,monte carlo log file monte carlo analysis run log le created details device values changed changed two versions log le created one plain text called simplismcloglog html format called simplismcloghtml view html log le select menu monte carlo view log file example shown
What does the ' monte carlo seed values' section cover?,monte carlo seed values introduction random values used monte carlo analysis generated using pseudorandom number generator generates sequence numbers appear random statistical properties random numbers however sequence used fact repeatable setting dened seed value sequence generated always long starting seed value used makes possible repeat specic monte carlo step long seed value known simetrixsimplis explicitly sets random seed value start monte carlo run records le facility exists explicitly set seed value instead using random seed makes possible repeat specic step useful cases one monte carlo steps show unexplained behaviour investigation needed also useful wish nd values parts used particular monte carlo step finding seed value nd seed value particular step follow procedure run normal monte carlo without seed denition done already find run number result whose seed require repeat step nd run number plotted waveform monte carlo run plot result normal position small cursor curve interest run number displayed status bar right
What does the ' performance analysis and histograms ' section cover?,performance analysis histograms
What does the ' backannotation' section cover?,backannotation
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' how to backannotate a schematic' section cover?,backannotate schematic simply select menu simulator initial conditions backannotate notice second two activity schematic operation complete note simetrixsimplis distinguish initial conditions backannotated initial conditions applied manually running backannotation algorithm able restore initial condition value set however use undo normal way fact backannotation operation reversed single undo operation
What does the ' disableenable initial conditions ' section cover?,disableenable initial conditions disable initial conditions select menu simulator initial conditions disable note disable initial conditions dened top level ones backannotated reenable use menu simulator initial conditions enable
What does the ' backannotation errors ' section cover?,backannotation
How can  editing backannotated initial conditions  be edited?,editing backannotated initial conditions change value backannotated initial condition depends device device already user editable initial condition simply use standard method capacitors
What does the ' how does it work ' section cover?,power supplyfixed current source select menu place voltage sources power supply place current sources dc source place xed voltage current source devices work simetrix simplis modes
What does the ' hierarchical blocks and subcircuits ' section cover?,subcircuits
What does the 'graphs probes and data analysis' section cover?,exportingimporting graphs data
What does the ' elements of the graph window ' section cover?,elements graph window
What does the ' main window' section cover?,main window
What does the ' windows and tabbed sheets' section cover?,windows tabbed sheets normally new graphs created within window tabbed sheet row tabs appear top graph window allowing select graph wish view also create new
What does the ' graph toolbar ' section cover?,graph toolbar shows function buttons graph toolbar referred following sections
What does the ' fixed vs random' section cover?,fixed vs random graph window using menu file new graph create empty window may add new graphs
What does the ' fixed probes' section cover?,fixed probes
What does the ' fixed probe options' section cover?,fixed probes several types xed probe three commonly used probes voltage plots voltage net current plots current device pin differential voltage plots voltage difference two points simply schematic symbols special properties place xed probe schematic voltage current point place probe plotted time run simulation probes wide range options set double clicking options covered detail section fixed probes xed probes available addition described see fixed probes details fixed voltage probes place schematic single hot key b one menus probe place fixed voltage probe place probe voltage probe schematic popup probe voltage hint place probe immediately existing schematic wire simetrix try deduce meaningful name related connected place probe empty location name default eg probenode wont meaningful probably wish subsequently edit fixed current probes place schematic single hot key u one menus probe place fixed current probe place probe current probe schematic popup probe current
What does the ' curve history' section cover?,curve history curves created xed probes store history viewed time picture shows current result one previous result displayed default waveform viewer store current result three previous results many previous results actually displayed may changed number ways history depth setting probe dialog menus curve history set depth curves curve history set depth selected curves set displayed history depth curve already plotted menus display dialog box
What does the ' fixed bus probe options' section cover?,bus probe options following describes options available random xed bus probes options set using dialog box shown see probing buses fixed probe options details plotting buses
What does the ' using fixed probes in hierarchical designs' section cover?,using fixed probes hierarchical designs fixed probes may successfully used hierarchical designs placed child schematic plot produced instances child labels curve prexed child reference
What does the ' adding fixed probes after a run has started ' section cover?,fixed probes
What does the ' percycle probes' section cover?,fixed probes following timing measurements supported percycle basis frequency period duty cycle time time percycle amplitude measurements percycle measurement also applied amplitude input voltage current example plot mean value switching power converter output mean value calculated percycle basis example show mean value converter output voltage plotted percycle manner gate voltage used determine timing edge information
What does the ' xy probes ' section cover?,xy probes xy probes plot two curves xy plot input either differential voltage inline current curves output graph axis xy probes available simetrix simplis xy probe specication shown following table xy probes model name xy probe simulator device compatible simetrix simplis simulators part selector location probes xy probes symbol library connectionsxslb symbols multiple selections multiple probes selected edited simultaneously editing xy probe congure xy probe follow steps double click symbol schematic open editing dialog probe options tab make appropriate changes three tabs explained xy probe options following tab allows dene general probe options explained table
What does the ' bode plot probe with measurements' section cover?,bode plot probe measurements bode plot probe measurements generates plots gain phase ratio two voltages probe congured plot gain phase gain phase summary bode plot probe measurements model name bode plot probe simulator device compatible simetrix simplis simulators schematic menu probe acnoise bode plot probe measurements parts selector probes bode plot probe measurements symbol library connections model file none symbol
What does the ' bode plot probebasic version' section cover?,bode plot probe basic version connects input output circuit plot gain phase sophisticated bode plot probe provides wide range options along display useful measurements also available recommended applications see bode plot probe measurements basic version useful quick checks compatibility versions
What does the ' fourier analysis' section cover?,fourier analysis xed fourier probe available perform spectral analysis node voltage place probe select menu probes place fourier voltage probe double click probe edit see dialog box settings similar random fourier probe plotting described fourier analysis documentation repeated convenience method simetrix offers two alternative methods calculate fourier spectrum fft continuous fourier simple rule use fft unless signal examined large high frequency components would case narrow sharp pulses description two techniques pros cons follows
What does the ' arbitrary fixed probe ' section cover?,arbitrary fixed probe create arbitrary xed probe plot expression combination node voltages device currents use feature select menu probe create place arbitary probe see dialog box
What does the ' changing update period and start delay ' section cover?,changing update period start delay update period xed probes changed options dialog box select menu file options general click graphprobedata analysis tab probe update timesseconds box two values edited period update period start delay simulation begins curves rst created
What does the ' auto probe colouring ' section cover?,options line widths printingmm axis line width width mm printed axis grid line width width mm printed grid lines minor grid width mm printed minor grid lines curve line width width mm printed curves auto probe colour options auto probe colouring see auto probe colouring disabled auto probe colouring switched text text attached probes coloured text body probes text symbol coloured miscellaneous library diagnostics determines whether messages displayed models found library
What does the ' random probes ' section cover?,random probes
What does the ' general behaviour ' section cover?,succession increasing negativegoing pulses test reset behaviour iso
What does the ' functions' section cover?,measurement functions measurement functions requirements goal functions used histogram generation performance analysis details available functions refer goal functions
What does the ' notes on probe functions ' section cover?,functions following table shows available random probe functions many found schematics probe menu others available probe probe functions function single ended voltage
What does the ' plotting noise analysis results' section cover?,plotting results noise analysis refer plotting noise analysis results
What does the ' plotting transfer function analysis results' section cover?,plotting transfer function analysis results see plotting transfer function analysis results
What does the ' fourier analysis' section cover?,fourier analysis xed fourier probe available perform spectral analysis node voltage place probe select menu probes place fourier voltage probe double click probe edit see dialog box settings similar random fourier probe plotting described fourier analysis documentation repeated convenience method simetrix offers two alternative methods calculate fourier spectrum fft continuous fourier simple rule use fft unless signal examined large high frequency components would case narrow sharp pulses description two techniques pros cons follows
What does the ' probing buses ' section cover?,bus probe options following describes options available random xed bus probes options set using dialog box shown see probing buses fixed probe options details plotting buses
What does the ' bus probe options ' section cover?,probing buses possible probe bus case plot representing signals bus created usually numeric display digital bus data also possible display data analog waveform buses may contain either digital analog signals analog signals present threshold values must supplied dene logic levels analog signals probe bus using default settings use schematic popup menu probe voltage hot key f probe bus way would single wire plot numeric trace using decimal values probe bus using custom settings select menu probe voltage bus click desired bus enter desired bus parameters described bus probe options
What does the ' plotting an arbitrary expression' section cover?,plotting arbitrary expression wish plot one probe menus simetrix facility plot arbitrary expression node voltages device currents accessed via one menus probe add curve selecting one menus brings dene curve dialog box shown
What does the ' curve arithmetic' section cover?,curve arithmetic simetrix provides facilities performing arithmetic existing curves example plot difference two plotted curves two methods menus plot sum two curves plot subtract two curves plot multiply two curves select one menus follow instructions given using add curve dialog box method select menu probe add curve plot add curve enter expression desired access existing curves data simply click curve information see plotting arbitrary expression ac analysis notes curve arithmetic ac analysis results complex plotting curve ac analysis magnitude complex data plotted unless explicit function applied phase imag although magnitude data plotted graph system retains original complex values arithmetic operation performed directly complex plotted data also complex example two curves ac analysis choose plot subtract two curves menu subtract new result magnitude complex difference difference magnitudes might expected mathematical terms see ab ab
What does the ' using random probes in hierarchical designs' section cover?,random probes
What does the ' previous results' section cover?,plotting results previous simulation select menu item simulator manage data groups open dialog box similar following
What does the ' updating curves' section cover?,plot journals updating curves
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' update curves ' section cover?,update curves make sure curves selected select graph menu plot update curves curves currently graph sheet redrawn using current simulation data although would usually latest simulation run also use feature restore curves back earlier run use simulator manage data groups menu select earlier data information see plotting results previous simulation options default curves redrawn older ones deleted change behaviour older curves kept select menu plot update curves settings uncheck delete old curves box curves would like remain xed wont updated simply select rst behaviour overridden using menu plot update curves settings simply uncheck ignore selected curves box
What does the ' plot journals' section cover?,plot journals updating curves
What does the ' graph layout' section cover?,graph layout
What does the ' autoaxis feature' section cover?,graph layout switch must specied eg curve autoaxis lp
What does the ' manually creating axes and grids ' section cover?,reordering grids digital axes change vertical order analog grids digital axes change analog grid order select axes reorder grids presented list currently displayed grids identied yaxis title use arrow buttons arrange order required click ok change digital axis order select menu axes reorder digital axes rearrange entries list described analog grids
What does the ' selecting axes ' section cover?,deleting axes delete axis select press erase axis button menu axes delete axisgris
What does the ' stacking curves to multiple grids ' section cover?,stacking curves multiple grids menu curves stack curves place curve grid menu curves stack selected curves place selected curve grid
What does the ' moving curves to different axis or grid ' section cover?,moving curves different axis grid freely move curves around one axis grid another proceed follows select curve curves wish move checking checkbox next coloured legend designates curve select axis wish move see press move selected curves new axis button curves redrawn new axis axes become empty result operation deleted unless main axis see deleting axes
What does the ' detached xaxes' section cover?,detached xaxes grids may attached detached xaxes attached xaxes shared xaxes graph sheet zoom sync limits changed one grid grids xaxes also changed detached xaxes independent axis limits detached axes may created number ways add curve dialog box menu probe add curve select use detached new grid option axis options group plot curve new grid detached xaxis existing grid converted detached status using menu axes detach selected xaxis holding control key zooming create new grid detached xaxis convenient way create new view detail curve without losing original wide view detached axes automatically created situations existing shared axis compatible physical type new curve plotted example plot ac analysis result graph sheet containing time axes detached axis created plot
How can you remove or delete  deleting axes?,deleting axes delete axis select press erase axis button menu axes delete axisgris
How can  editing axes be edited?,editing menu system
What does the ' reordering grids and digital axes ' section cover?,reordering grids digital axes change vertical order analog grids digital axes change analog grid order select axes reorder grids presented list currently displayed grids identied yaxis title use arrow buttons arrange order required click ok change digital axis order select menu axes reorder digital axes rearrange entries list described analog grids
What does the ' curve operations' section cover?,curve operations
What does the ' selecting curves' section cover?,selecting curves curves may selected clicking curve select multiple curves hold control key curves may also selected checking associated check box legend window
How can you remove or delete  deleting curves?,deleting curves delete curve curves select press erase selected curves button yaxis left empty deleting curves automatically deleted default grids left empty deleting curves also deleted action overridden using option setting refer graphprobedata analysis options
What does the ' hiding and showing curves' section cover?,hiding showing curves curve may hidden without actually deleted sometimes useful many curves graph detail one wish see hidden others instance temporarily remove curves graph hide curve curves select press hide selected curves button show press show selected curves button
What does the ' retitling curves' section cover?,retitling curves change title curve selecting pressing name curve button change name curve displayed legend panel main graph area toolbar
What does the ' highlighting curves' section cover?,highlighting schematic highlighting features work hierarchy menus edit highlight net edit highlighting highlight net name highlight selected net within displayed schematic connected nets schematics hierarchy note following large hierarchies possible mechanism traces hierarchy identify connected nets noticeably slow time taken descend new schematic hierarchical highlighting disabled becomes problem see menu file options general check disabled hierarchy highlighting connectivity information simetrix schematics normally generated netlist created reason possible highlighting incomplete schematic edited since simulation last run highlighting algorithms seeks minimise problem running netlister certain times performance reasons netlist whole hierarchy use menu edit highlighting refresh hierarchical highlights resolve problem netlist complete hierarchy rebuild highlights scratch
What does the ' moving and copying curves between graphs ' section cover?,moving copying curves graphs menus edit copy edit cut edit paste may used move copy curves graph sheets note operations use internal clipboard place data system clipboard
What does the ' graph cursors' section cover?,graph cursors
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' cursor operations ' section cover?,curve operations
What does the ' additional cursors ' section cover?,graph cursors
What does the ' cursor readout ' section cover?,cursor readout number options cursors absolute relative positions displayed initially values displayed dimensions graph altered number ways opt absolute relative readings displayed actual format graph readout customised eg extra text added perhaps something like delay xxxns xxx relative reading editing style orand format cursor dimension double click one displayed values cursor dimension following dialog open edit values described
What does the ' cursor functions' section cover?,measurement functions measurement functions requirements goal functions used histogram generation performance analysis details available functions refer goal functions
What does the ' curve measurements' section cover?,curve measurements
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' available measurements' section cover?,curve measurements
What does the ' using the dene measurement gui' section cover?,using dene measurement gui dene measurement gui general purpose interface measurement system provides access measurement functions along means dene custom measurements open dene measurement gui select menu measure functions see following dialog box
What does the ' measurement denitions manager ' section cover?,measurement denitions manager select menu measure manage measurement denitions open measurement denitions manager dialog box shown
What does the ' repeating the same measurement ' section cover?,repeating measurement menu measure repeat last measurement repeat recent measurement performed
What does the ' applying measurements to fixed probes ' section cover?,fixed probes
What does the ' notes on curve measurement algorithms ' section cover?,optimiser algorithms
What does the ' plots from curves' section cover?,update curves make sure curves selected select graph menu plot update curves curves currently graph sheet redrawn using current simulation data although would usually latest simulation run also use feature restore curves back earlier run use simulator manage data groups menu select earlier data information see plotting results previous simulation options default curves redrawn older ones deleted change behaviour older curves kept select menu plot update curves settings uncheck delete old curves box curves would like remain xed wont updated simply select rst behaviour overridden using menu plot update curves settings simply uncheck ignore selected curves box
What does the 'efciency calculator' section cover?,efciency calculator
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' step place power probes ' section cover?,step place power probes menu tools efciency calculator add power probes schematic allows place multiple xed power probes current schematic place power probes schematic close hint window follow steps position power probe circle component pin click left mouse button note zoom placing power probes hold control key scroll mouse wheel pan pan left right hold alt key scroll mouse wheel repeat previous step placed power probes stop placing power probes click right mouse button note also place delete power probes schematic following menus tools efciency calculator add power probes schematic tools efciency calculator delete power probes
What does the ' stepdene input and output probes' section cover?,step dene input output probes menu tools efciency calculator dene inputs outputs allows specify probes assigned input sources assigned output loads overall efciency calculated input probes output probes selected bottom efciency calculator dialog probes remaining upper box considered lossy elements design use following methods move probes power probes box either input probes output probes box click select single probe click appropriate add button hold control key click multiple probes click add button mouse draw box around adjacent probes click add button dene input output probes follow steps upper box select probes assign input sources click add inputs select probes assign output loads click add outputs click ok
What does the ' stepcalculate efciency' section cover?,step calculate efciency menu tools efciency calculator calculate efciency generates efciency report existing data displays report dialog command shell window note data exists prompted select input output probes report run assigning input output probes must select menu tools efciency calculator calculate efciency
What does the 'zoom and scroll' section cover?,zoom scroll
What does the ' zooming with the mouse' section cover?,graph zooming scrolling
What does the ' zooming with the keyboard' section cover?,graph zooming scrolling
What does the ' recovering an earlier zoom' section cover?,recovering earlier zoom press undo zoom toolbar button recover earlier zoom scroll positions
What does the ' scrolling with the keyboard' section cover?,scrolling keyboard left right cursor keys scroll active graph
What does the ' zooming with multiple grids ' section cover?,zooming multiple grids zoom box covers multiple grids xaxes grids altered
What does the ' adding new curves to a zoomed grid ' section cover?,adding new curves zoomed grid add new curve graph zoomed axes limits change accommodate curve new curve lie within zoomed area see selecting graph popup zoom full pressing home key restores graph autoscaling limits always adjust curves visible even ones subsequently added
What does the ' zoom to fit yaxis ' section cover?,zoom fit yaxis zoom yaxis displayed xaxis press fit height toolbar button
What does the 'annotating a graph ' section cover?,annotating graph
What does the ' curve markers ' section cover?,annotating graph snap curve switch action causes curve markers always snap curve select properties tab double click snaptocurve item select able move curve marker location
What does the ' legend box ' section cover?,legend box placing select menu annotate add legend box box listing curve names appear top left graph moving place cursor inside box drag new location resizing alter maximum height box placing mouse cursor bottom edge dragging text box automatically reposition comply new maximum height editing properties double click box select menu annotate edit selected object following dialog opened dialog box options
What does the ' text box' section cover?,annotating graph number objects available annotate graphs documentation purposes curve marker single arrow line item text identify curve feature curve legend box box text lists names curves currently displayed text box box containing text message free text similar text box without border background caption free text designed single line heading
What does the ' caption and free text ' section cover?,annotating schematic add caption free text schematic difference font style justication captions use heavy font centre justied free text use smaller font left justied place caption free text use popup xed menus edit annotation add caption edit annotation add free text
What does the ' graph symbolic values ' section cover?,symbolic path names
How do you import exportingimporting?,exportingimporting graphs data
What does the ' clipboard' section cover?,copying clipboard copy schematics clipboard select entire schematic choose menu edit copy wish schematic copied black white select edit copy monochromatic recommended zoom schematic window prior copying clipboard copying clipboard schematic pasted another application word processor
What does the ' exporting graphics ' section cover?,exporting graphics may export schematic graphics applications word processors drawing programs via clipboard see copying graphics clipboard writing le export waveform graphics le select graph menu file save picture select format choice using save type drop box choices windows meta file emf wmf nearly windows applications support graphics import accept format note scalable format therefore suitable high resolution printing scalable vector graphics svg like emf wmf scalable format open format supported programs platforms whereas emf wmf available windows bitmap default image size png jpg bmp available platforms widely supported graphics applications scalable formats offer good quality printed using high resolution printers png default format choose le extension generally format works well schematics graphs choose jpg jpeg format bmp windows bitmap format must explicitly enter jpg bmp le extensions respectively option image size match image size currently displayed screen wish specify different image size use next option bitmap specify image size png jpg bmp must explicitly dene image resolution pixels prompted close le selection dialog box
What does the ' data import and export' section cover?,data import export simetrix provides capability export simulation data le text form also import data le text form makes possible process simulation data using another application spreadsheet custom program operations described section handle data independent graph system also ways export plotted data graph also directly plot external data information topics refer copying data clipboard paste data clipboard simetrix may also import data spice raw le format csdf format simulation products output one formats importing spice raw csdf files select menu simulator load simulation data
What does the 'saving graphs' section cover?,saving graphs
What does the ' saving ' section cover?,saving
What does the ' restoring' section cover?,saving restoring sessions
What does the 'saving data ' section cover?,saving data
What does the ' saving the data of a simulation' section cover?,saving data
What does the ' restoring simulation data ' section cover?,restoring simulation data select menu file data load navigate directory previously saved data les
What does the 'dc operating point ' section cover?,operating point specify dc operating point analysis check dcop note operating point performed automatically analysis modes useful analysis specied
What does the ' schematic annotation ' section cover?,line based annotations two types line annotations available lines arrows placed place annotation new line new arrow menu options place line based annotation use menu link click schematic want annotation start drag want annotation end annotation moved clicking annotation dragging one end annotation moved rectangle selecting one end cross shown annotation like gure clicking cross dragging want end placed partially selected line arrow annotation cross marker left hand end shows left part annotation selected line annotations rotated mirrored using appropriate tool buttons
What does the ' displaying device operating point info' section cover?,displaying device operating point info menu bias annotation display device bias info display message window node voltages pin currents total power dissipation selected schematic part note power dissipation calculated node voltages currents
What does the ' list file data' section cover?,list file data great deal information device circuit obtained list le use menu simulator open list file see also see simulator reference manual information list le
What does the ' other methods of obtaining bias data' section cover?,methods obtaining bias data also display voltage current command shell without placing part schematic voltages place mouse cursor point interest press controln currents place cursor part pin press controli
What does the ' bias annotation in simplis' section cover?,bias annotation display precision default bias annotation values displayed precision digits change select menu file options general edit value box bias annotation precision schematic sheet
