Question,Answer
What does the 'innite capacitors and inductors ' section cover?,innite capacitors inductors innite capacitors inductors often useful ac analysis place innite capacitor select menu place passives innite capacitor place innite inductor select menu place magnetics innite inductor innite capacitor works follows dc bias point calculation behaves like open circuit like regular nite capacitor subsequent analysis behaves like voltage source value equal voltage achieved dc bias point calculation innite inductor behaves follows dc bias point calculation behaves like short circuit like regular nite inductor subsequent analysis behaves like current source value equal current achieved dc bias point calculation
What does the ' multilevel capacitors ' section cover?,multilevel capacitors multilevel capacitor four model levels level increases additional parasitic circuit elements added capacitor available version
What does the ' electrolytic capacitors ' section cover?,electrolytic capacitors electrolytic capacitor model superseded multilevel capacitor electrolytic capacitor still available parts selector locations passives capacitors simple legacy passives capacitors detailed legacy electrolytic capacitor models shown
What does the ' potentiometer' section cover?,potentiometer potentiometer may used simetrix simplis modes place select menu place passives potentiometer device edited usual manner fedit part popup display enter resistance wiper position required check run simulation position change wish new simulation run immediately wiper position changes potentiometers wiper position may also altered using shiftup shiftdown keys device selected edit incdec step size alter step size used feature
What does the ' lossless transmission line' section cover?,lossless transmission line select menu place passives trans line lossless press hot key editing usual way display enter characteristic impedance z delay indicated
What does the ' lossy transmission line' section cover?,lossy transmission line select menu place passives trans line lossy rlgc editing usual way display lossy lines must dened terms per unit length impedance characteristics lossy line model implemented subcircuit uses laplace transfer device see laplace transfer function details
What does the ' ac table for sparameters and yparameters ' section cover?,ac table sparameters yparameters ac table device may used implement nport network dened using parameters read touchstone format le note part implements frequencydependent characteristics smallsignal analyses actfnoise analysis transient analysis behaves like simple gain block place ac table device select menu place passives sparameter lookup table device prompted le extension snp ynp n number ports simetrix create symbol implement required number ports placed normal way hard limit number ports allowed although practical upper limit due numerical performance considerations
What does the ' fixed voltage and current sources ' section cover?,fixed voltage current sources see circuit stimulus
What does the ' controlled sources ' section cover?,controlled sources four types found menu place controlled sources voltage controlled voltage source vcvs voltage controlled current source vccs current controlled voltage source ccvs current controlled current source cccs
What does the ' voltage controlled switch ' section cover?,controlled sources four types found menu place controlled sources voltage controlled voltage source vcvs voltage controlled current source vccs current controlled voltage source ccvs current controlled current source cccs
What does the ' switch with hysteresis ' section cover?,generic parts parameter description resistance switch resistance state resistance switch resistance state threshold average threshold switches state value plus half hysteresis switch state value less half hysteresis hysteresis difference upper lower thresholds switching time time switch takes switch note total time point switch starts switch point fully switched initial condition sets initial state switch start simulation need control switch times switch times independently use delayed switch model see delayed switch
What does the ' delayed switch ' section cover?,delayed switch implements voltagecontrolled switch dened delay model used implement relays switch action similar switch hysteresis described delayed switch model functionality hysteresis switch addition time delay parameters separate parameters switch switch times unlike hysteresis switch device exact simplis equivalent device placed schematic menu place analog functions delayed switch parameters parameter description resistance switch resistance state resistance switch resistance state threshold low switch switches control voltage drops threshold threshold high switch switches control voltage rises threshold delay delay high threshold reached switch starting switch delay delay low threshold reached switch starting switch switching time total time switch takes switch switching time total time switch takes switch older versions model include switching time parameters wish update delayed switch already placed schematic include parameter use editadd properties menu change parammodelname property delayedswitchv
What does the ' parameterised opamp ' section cover?,parameterised opamp implements operational amplier available menu available menu place analog functions parameterised opamp dened parameters listed
What does the ' parameterised optocoupler' section cover?,parameterised optocoupler implements optically isolated coupler available menu place analog functions parameterised optocoupler dened two parameters described following table parameter description current transfer ratio ratio output current input current
What does the ' parameterised comparator ' section cover?,parameterised opamp implements operational amplier available menu available menu place analog functions parameterised opamp dened parameters listed
What does the ' vco' section cover?,vco implements simple voltage controlled oscillator digital output place vco schematic using menu place digital generic vco analog digital parameters parameter description frequency vc output frequency control voltage zero gain hzv change frequency vs change input voltage
What does the ' veriloga library' section cover?,veriloga library simetrix pro simetrix elite may also use one veriloga implemented devices available place analog functions veriloga library devices dened using veriloga language veriloga code devices may found supportvalibrary directory simetrix root currently veriloga library devices described following paragraphs voltage controlled delay implements variable analog delay
What does the ' isoandwaveform sources ' section cover?,effect note place recognised cant use netlists models resistors capacitors circuit tolerance select either monte carlo select capacitor tolerances monte carlo select resistor tolerances device tolerances applied following parts capacitors resistors inductors fixed voltage sources fixed current sources voltage controlled voltage sources voltage controlled current sources current controlled voltage sources current controlled current sources lossless transmission lines applied z parameter device tolerance ignored devices
What does the ' generic adcs and dacs ' section cover?,generic adcs dacs generic data conversion devices available menus place digital generic adc place digital generic dac devices implemented using simulators adc dac models details refer simulator reference manualdigital mixed signal device referenceanalogdigital converter simulator reference manualdigital mixed signal device referencedigitalanalog converter controls boxes explained number bits resolution converter values
What does the ' generic digital devices' section cover?,generic digital devices number generic digital devices provided place digital generic menu automatically create symbol using basic spec provided entries dialog box functions provided counter shift register nand gates bus register
What does the ' arbitrary nonlinear passive devices ' section cover?,arbitrary nonlinear passive devices place part looks exactly like linear counterpart difference try edit value f menu edit part prompted enter expression case resistor capacitor relates value applied voltage inductor expression relates inductance current resistors capacitors terminal voltage referred equation vn inductors devices current referred iv
What does the 'creating models' section cover?,creating models
What is the overview of overview ?,overview process installing third party spice models always fundamentally tricky one
What does the 'creating soft recovery diode models' section cover?,overview simetrix provides soft recovery diode model use power electronics circuits model spice standard models available device manufacturers sources therefore also developed soft recovery diode parameter extractor allows creation soft recovery diode models data sheet values parameter extraction tool works directly within schematic environment may used similar manner parameterised devices parameterised opamp however also option save particular model device library making available standard part addition simetrix offers tool creating saturating inductor model data sheet inductance vs current curve
What does the 'creating power inductor models ' section cover?,creating models
What does the 'digitising data sheet curves ' section cover?,circuit stimulus refer following details tabbed sheet pulse sheet sine sheet noise sheet ac sheet dc sheet text sheet
What does the 'subcircuits' section cover?,subcircuits
What is the overview of overview ?,overview process installing third party spice models always fundamentally tricky one
What does the 'creating a subcircuit from a schematic ' section cover?,creating models
What does the 'calling a subcircuit in a schematic ' section cover?,subcircuits connections outside world module port symbol found schematic menu hierarchy place module port important use normal terminal symbol recommended model denitions included subcircuit denition makes subcircuit selfcontained referenced models device library import schematic automatically using schematic menu simulator import models placed simulator command window opened pressing f alternatively enter command window manually stage netlist circuit create subcircuit netlist select schematic menu simulator create netlist subcircuit rst prompted subcircuit name name also used le name extension mod entering name asked specify subcircuit pin order close box subcircuit created text displayed
What does the ' special parts ' section cover?,special parts
What does the ' initial conditions' section cover?,disableenable initial conditions disable initial conditions select menu simulator initial conditions disable note disable initial conditions dened top level ones backannotated reenable use menu simulator initial conditions enable
What does the ' nodesets' section cover?,nodesets nodesets used help convergence also coerce particular state circuits one possible dc solution information nodesets given simulator reference manualcommand referencenodeset place nodeset select menu place connectors nodeset place device desired location select press f enter suitable voltage
What does the ' parameters and expressions' section cover?,parameters expressions
What does the ' example ' section cover?,example
What does the 'analog behavioural modelling' section cover?,introduction analog behavioural modelling process creating analog device description behaviour rather lowlevel design simetrix offers three way create analog behavioural models veriloga modelling veriloga compiled language used create sophisticated analog devices dened using nonlinear equations frequency domain denitions timedomain events features information refer veriloga manual nonlinear transfer function single device singleended differential output generates voltage current expressed function arbitrary number voltage current inputs see nonlinear transfer function laplace transfer function denes linear device frequency domain using laplace transform variable see laplace transfer function
What does the 'introduction' section cover?,simetrix chapter introduction
What does the 'nonlinear transfer function ' section cover?,nonlinear transfer function select menu place analog behavioural nonlinear transfer function displays
What does the 'expression' section cover?,random probes dene curve sheet expression enter arithmetic expression use operators various functions log sin etc enter node voltage click point schematic enter device pin current hold shift key click device pin schematic voltages currents may also selected available vectors box may also plot expression based curve already plotted simply click curve see function entered form cvn n integer entries made box stored future retrieval use drop box select previous entry x expression x data required xy plot must check xy plot box expression entered way data
What does the 'examples ' section cover?,examples tutorials windows example les distributed packages installed cprogramdatasimetrix technologiessimetrixupdaterinstalled intended used location instead copied documents folder simetrix starts rst time accept option cant nd examples les select menu file options rebuild examples install documents folder following tutorial discussions examples directory referred examples
What does the 'veriloga implementation' section cover?,veriloga implementation simetrix pro simetrix elite may select compile binary using veriloga option build denition device using veriloga language compile binary dll process takes place run simulation benet using veriloga wider range functions available complex denitions also performance benet refer veriloga manual details available functions
What does the 'laplace transfer function' section cover?,laplace transfer function
What is the overview of overview ?,overview process installing third party spice models always fundamentally tricky one
What does the 'user interface ' section cover?,interface styles light version user interface dark version user interface chapter schematic editor
What does the 'laplace expression' section cover?,laplace transfer function
What does the 'device type' section cover?,device type transfer function expression denes outputinput impedance vi two terminal device expression denes voltagecurrent admittance iv two terminal device expression denes currentvoltage
What does the 'implementation' section cover?,implementation describes method simulator uses implementation laplace expression two choices lumped network laplace transform implemented using network integrators
What does the 'impulse response' section cover?,impulse response problems impulse response extraction convolution method impulse response laplace transfer function must extracted mentioned three methods attempted inverse fft method stehfest methods approximate nature reason result method tested test fails impulse response rejected another method attempted methods fail simulation abort transfer functions decay slowly likely fail inverse fft method method requires impulse response decay zero nearly zero stehfest method also fails problem sometimes resolved increasing inverse fft size increases duration inverse fft evaluated providing longer time decay many situations impulse response extraction fails transfer function noncausal means response negative time noncausal transfer functions made causal adding delay impulse response cache impulse response cached speed subsequent simulations response cache located cusersloginnameappdataroamingsimetrix technologiessimetrixlaplacecache loginname name used log system deleted time cache size limited mbytes default changed using option variable
What does the 'device library parts management' section cover?,parts management installing models
What does the ' using model library browser ' section cover?,model library browser numbered parts parts located model library may accessed via model library browser select menu place model library open
What does the ' installing models' section cover?,parts management installing models
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' procedure' section cover?,tutorial simple ready run circuit wire capacitor c shown using similar procedure resistor r
How do you install the  full model installation procedure ?,installation licensing full installation licensing instructions may found httpwwwsimetrixcoukappusershtm
How can you remove or delete  removing model libraries ?,removing model libraries select file model library viewremove libraries dialog box similar shown installing electrical model displayed available libraries box empty select devices wish remove selected libraries box
What does the ' part selector ' section cover?,part selector
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' category editor ' section cover?,category editor hierarchical structure part selector may changed using category editor parts listed part selector assigned category names category editor maps category names positions part selector hierarchy example category name nmos maps location discretes mosfets nchannel using category editor possible reorganise parts displayed also remove categories part selector moving path called hidden open category editor select menu file model library edit part selector categories simetrix mode file model library edit part selector categories simplis mode open gui shown
How can  editing the part selector catalog be edited?,part selector
What does the ' advanced topics' section cover?,advanced topics
What does the ' associating multiple models with symbols' section cover?,creating models
What does the ' embedded association ' section cover?,advanced topics priorities possible association information could provided multiple sources case possibility conict arises case following priorities apply user supplied association eg using associate symbols models dialog takes precedence embedded association embedded association takes precedence predened association predened association stored allcat catalog le supplied simetrix
What does the ' catalog files' section cover?,catalog files data model symbol associations stored catalog les three catalog les follows allcat resides supportdevdb simetrix root directory stores catalog data supplied simetrix simetrix never modies le uservcat resides devdbuser application data directory see application data directory stores catalog data supplied user data le overrides data allcat associate models dialog box writes le simetrix versions
How do you import  importing models to a schematic ?,importing models schematic simetrix provides means automatically import models needed schematic schematic models placed simulator command window opened f see manual entry simulator commands models imported schematic longer necessary simetrix locate models library simulation run following benets makes schematic completely selfcontained useful archiving wish pass schematic third party edit models locally without affecting global library import models schematic select schematic menu simulator import models provided two options import direct copy import reference rst import model text directly schematic second put model text le referenced schematics simulator command window using inc control see simulator reference manualcommand referenceinc
What does the ' sundry topics' section cover?,sundry topics
What does the ' lib control' section cover?,lib control lib netlist control allows local specication model library particular circuit syntax lib pathname pathname file system path name specifying single le using wildcard group les path name contains spaces must enclosed quotation marks control species pathname searched model subcircuit libraries number lib controls may specied wildcards ie may used model subcircuit called device line denition present netlist simetrix search les specied using lib control simetrix also supports another form lib used model les designed hspice see simulator reference manualcommand referencelibhspice form details
What does the ' drag and drop to schematic' section cover?,drag drop schematic install model le schematic picking windows explorer dropping onto schematic window insert lib control see path le dropped installs model le local schematic
What does the ' library diagnostics ' section cover?,library diagnostics enabled library diagnostics display messages showing progress location device models enabledisable select file options general model library tab
What does the ' local models' section cover?,local models also enter model subcircuit denition schematics f window however enter model manner available schematic
What does the ' library indexing mechanism' section cover?,library indexing mechanism technique used speed search models subcircuits completely transparent requires action user simetrix creates index le library specication encounters either installed globally referenced using lib index les contain details le locations models subcircuit denitions referenced library specication index les used later simulation runs speed search models subcircuits index les automatically rebuilt library les referenced modied modications detected comparing le dates index les stored appdatadirindexes appdatadir location application data directory see application data directory location directory les named sxnsxidx n number note add new model le directory simetrix running simetrix wont know new le relevant indexes wont updated situation select menu file model library rebuild catalog update indexes
What does the ' duplicate model names' section cover?,duplicate model names models common parts available different sources sometimes different names eg lf lfns latter available national semiconductor library cases model names different sources identical poses problem models uniquely identied name simetrix builtin utility automatically rename models duplicate names devices renamed adding user specied sufx model name rename utility accessible via menus must invoked typing command command line proceed follows first ensure model library les wish process installed global libraries make backup copies model les optional utility makes backups anyway type following command line command line edit box top command shell visible select menu view show command shell renamelibs list currently installed libraries displayed double click wish processed renaming supply sufx sufx must contain spaces start nonalphanumeric character note models found duplicates renamed simetrix rename unique models supply sufx library devices within renamed press ok operation take long time possibly minutes library large completion message rename complete see renamelog details displayed command shell renamelog le contain full details rename process includes details models renamed
What does the ' using ltspice models' section cover?,using ltspice models simetrix use models developed ltspice especially useful simulating opamp models available ltspice note unencrypted text format models may used simetrix ltspice models placed symbol library model library usual simetrix models done symbol library must built select menu tools ltspice buildrebuild ltspice symbol library process takes seconds complete symbol library built models placed schematic menu place symbol library using one ltspice categories category ltspiceincompatible contains symbols display correctly whose associated model compatible simetrix cases model encrypted many models run without modication without special settings models use features need explicitly enabled models add following setting simulator options ltspicecompatibility models need minor modications run successfully need major modications current maintenance contact technical support assistance simetrix also open ltspice schematics symbol les information see ltspice compatibility chapter analysis modes chapter describe various analysis modes available set schematic editor information analysis modes including full details netlist commands invoke simulator reference manualcommand reference analyses setup using choose analysis dialog box opened schematic menu simulator choose analysis also enter raw netlist commands f window contents window remain synchronised choose analysis dialog box settings freely switch two methods choose analysis dialog box support sensitivity polezero analysis methods must set using f window
What does the 'analysis modes' section cover?,analysis modes
What does the ' running simulations' section cover?,running simulations
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' starting pausing and aborting analyses ' section cover?,starting pausing aborting analyses starting analysis start simulation normal synchronous mode use simulator run menu press f key press run button choose analysis dialog box shown dialog box show status simulation pausing analysis pause simulation selecting pause button simulator status dialog box restart select resume button pause button changes name simulation pauses simulator resume menu item simulation paused carry using program simulation completed includes plotting results simulation completed far decide wish continue run need explicitly abort start new run normal way asked would like resume pending run answer pending run automatically aborted new run started aborting analysis actually never need explicitly abort analysis decide wish continue run pause described pause abort except option change mind restart nevertheless abort facility simply select simulator abort menu abort run able restart one benet aborting run instead pausing analysis aborted simulator frees memory needed run note happen run completes normally need free simulator memory normal run completes type reset command line available simetrixsimplis elements working analysis running operations performed simulation running example zoom graphs many schematic editing operations also performed however operations blocked full functionality available simulation completed paused need full gui functionality simulation running run simulation background see running analyses asynchronous mode
What does the ' running analyses in asynchronous mode ' section cover?,running analysis netlist run analysis netlist created hand perhaps third party schematic entry program run netlist synchronous mode select command shell menu simulator run netlist locate netlist le run netlist asynchronous mode select command shell menu simulator run netlist asynchronous locate netlist le see running analyses asynchronous mode information running asynchronous analyses
What does the ' running an analysis on a netlist ' section cover?,running analysis netlist run analysis netlist created hand perhaps third party schematic entry program run netlist synchronous mode select command shell menu simulator run netlist locate netlist le run netlist asynchronous mode select command shell menu simulator run netlist asynchronous locate netlist le see running analyses asynchronous mode information running asynchronous analyses
What does the ' simulation and multicore processors ' section cover?,multicore processors simetrix exploit multiple core cpus number ways benet multiple core processors note however require simetrix pro simetrix elite license able use multiple core features note also simetrix effectively use hyperthreading information see following sections simulation multicore processors using multiple cores multistep analyses multicore multistep simplis analyses
What does the ' transient analysis ' section cover?,transient analysis simplis transient analysis similar simetrix transient analysis
What does the ' setting up a transient analysis' section cover?,transient analysis simplis transient analysis similar simetrix transient analysis
What does the ' restarting a transient run ' section cover?,restarting transient run transient analysis run completion reached stop time still possible restart analysis carry previously stopped restart transient run select menu simulator restart transient new stop time box enter time wish restarted analysis stop click ok start run see also simulator reference manualcommand referencetran
What does the ' transient snapshots' section cover?,transient snapshots overview often need investigate circuit set circuit conditions achieved transient run
What does the ' operating point ' section cover?,operating point specify dc operating point analysis check dcop note operating point performed automatically analysis modes useful analysis specied
What does the ' sweep modes' section cover?,sweep modes
What does the ' device sweep' section cover?,dc sweep following result dc sweep v restail set k analysis parameters follows sweep mode device v sweep range
What does the ' temperature' section cover?,temperature global circuit temperature swept
What does the ' model parameter' section cover?,model parameter similar device sweep except applied named model parameter model name parameter name must specied special note recommended model parameter swept also specied model parameter list cases isnt actually necessary instances terminal resistance parameters necessary
What does the ' parameter' section cover?,optimiser gui description click new parameter button create new parameter delete existing parameter select parameter row press delete button
What does the ' frequency' section cover?,fixed probes start freqhz start frequency display stop freqhz stop frequency display log xaxis check specify logarithmic xaxis force minimum value start frequency equal time interval analysed signal info signal analysed repetitive frequency signal known exactly much better result obtained specied check know fundamental frequency box enter frequency fourier spectrum calculated using integral number complete cycles fundamental frequency substantially reduces spectral leakage spectral leakage occurs fourier algorithms work assumption signal analysed repetition analysed time interval analysed time interval contain whole number cycles fundamental frequency poor approximation spectrum error practice problem minimised using window function applied signal prior fourier calculation using whole number cycles reduces problem note fundamental frequency necessarily lowest frequency circuit largest frequency frequencies circuit integral harmonics example two sine wave generators khz
What does the ' monte carlo' section cover?,multistep monte carlo
What does the ' sensitivityworstcase ' section cover?,sensitivityworstcase example
What does the ' setting up a swept analysis' section cover?,setting swept analysis ac dc noise transfer function analysis sheets select dene button sweep parameters box bring following dialog
What does the ' dc sweep' section cover?,dc sweep following result dc sweep v restail set k analysis parameters follows sweep mode device v sweep range
What does the ' setting up a dc sweep ' section cover?,dc sweep following result dc sweep v restail set k analysis parameters follows sweep mode device v sweep range
What does the ' example' section cover?,example
What does the ' ac sweep' section cover?,ac sweep
What does the ' setting up an ac sweep' section cover?,ac sweep
What does the ' example' section cover?,example
What does the ' noise analysis ' section cover?,noise analysis
What does the ' setting up an ac noise analysis' section cover?,noise analysis
What does the ' plotting results of noise analysis ' section cover?,plotting results noise analysis refer plotting noise analysis results
What does the ' example' section cover?,example
What does the ' example' section cover?,example
What does the ' real time noise' section cover?,real time noise
What does the ' setting up a real time noise analysis' section cover?,real time noise
What does the ' transfer function' section cover?,transfer function results
What does the ' setting up a transfer function analysis' section cover?,transfer function results
What does the ' plotting transfer function analysis results' section cover?,plotting transfer function analysis results see plotting transfer function analysis results
What does the ' example' section cover?,example
What does the 'dc sensitivity' section cover?,dc sensitivity waveforms created single analysis
What does the ' setting up a dc sensitivity analysis' section cover?,dc sensitivity standalone analysis mode confused sensitivityworstcase sweep mode multistep mode control instructs simulator perform dc sensitivity analysis analysis mode dc operating point rst calculated linearised sensitivity specied circuit voltage current every model device parameter evaluated results written list le also placed new data group latter allows data viewed message window type display command line also accessed scripts analysis analysis mode performs similar analysis sensitivity sweep applied dc analysis however differs calculates sensitivity every parameter circuit distribution function applied also way analysis performed different sensitivity sweep perturbs parameter performs full nonlinear dc analysis case analysis mode uses matrix arithmetic calculate approximation true sensitivity
What does the 'convergence' section cover?,convergence
What does the ' convergence options' section cover?,convergence
What does the ' convergence failure report' section cover?,convergence
What does the ' convergence static analysis' section cover?,convergence static analysis convergence static analysis feature performs analysis circuit identify items give trouble could lead convergence failure static analysis automatically performed part convergence failure report may also run simulation using menu simulator convergence static audit run simulation dummy run simulation required prompted whether would like performed load circuit simulator actually start run static analysis identify following potential problems code description ifdiscontinuity arbitrary source expression form ifexpression constant constant discontinuous switch abruptly one value another time denition lead convergence failure sgndiscontinuity use sgn sign function arbitrary source discontinuous although depends used reported inneon mosfet igbt model safely ignored stpdiscontinuity use u stp functions arbitrary source discontinuous depends used floordiscontinuity use oor function arbitrary source discontinuous often gives convergence problems
What does the 'data handling and keeps' section cover?,data handling keeps
What does the ' scope options ' section cover?,simulation options
What does the ' signals options ' section cover?,signals options signals classed voltages currents digital digital signals created event driven simulator cases veriloghdl interface digital signals generally take much less
What does the ' to add a voltage keep to a schematic ' section cover?,add voltage keep schematic part selector navigate probes connectors keeps voltage keep place device desired schematic net
What does the ' to add a current keep to a schematic ' section cover?,add current keep schematic part selector navigate probes connectors keeps current keep place device directly device pin
What does the 'simulator options' section cover?,setting simulator options select menu simulator choose analysis select options tab following displayed
What does the ' setting simulator options ' section cover?,setting simulator options select menu simulator choose analysis select options tab following displayed
What does the 'multistep analyses ' section cover?,multistep analyses
What does the ' setting up a multistep analysis' section cover?,setting multistep sensitivity analysis select schematic menu simulator choose analysis select ac dc noise transient tf tab required dene analysis required monte carlo multistep analysis group check enable multistep box press dene button open
What does the ' using multiple cores for multistep analyses ' section cover?,multistep analyses
What does the ' example' section cover?,example
What does the ' example' section cover?,example
What does the 'safe operating area testing' section cover?,safe operating area testing
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' dening simple limit tests' section cover?,dening simple limit tests schematic symbols three schematic symbols provided allow denition simple limit tests report following voltage single node
What does the ' advanced soa limit testing' section cover?,overview safe operating area soa separate analysis mode feature enabled dc transient analyses soa testing set maximum minimum limits simulation quantity simulator display limits violated use soa testing must two things dene soa limits models devices using enable congure soa testing item covered detail simulator reference manual see section titled simulator reference manualcommand referencesetsoa also limit parameter described section titled simulator reference manualcommand referencemodel setting simple limit tests using simple schematic symbols described
What does the 'simplis analysis modes' section cover?,analysis modes
What does the ' transient analysis ' section cover?,transient analysis simplis transient analysis similar simetrix transient analysis
What does the ' setting up a transient analysis' section cover?,transient analysis simplis transient analysis similar simetrix transient analysis
What does the ' periodic operating point pop ' section cover?,periodic operating point pop periodic operating point pop nds steady state operating point switched systems periodically driven selfoscillating predominant application analysis mode rapidly nd settled condition switching power supply without simulate entire power sequence dramatically speeds analysis designs behaviour different load conditions details pop analysis see simplis reference manual
What does the ' setting up a pop analysis ' section cover?,setting pop analysis select menu simulator choose analysis select pop check box right select pop tab top
What does the ' ac analysis ' section cover?,analysis modes ac analysis setup ac analysis select ac sheet check ac box select analysis enter parameters sweep parameters section meaning equivalent simetrix analysis
What does the ' setting up an ac analysis ' section cover?,analysis modes ac analysis setup ac analysis select ac sheet check ac box select analysis enter parameters sweep parameters section meaning equivalent simetrix analysis
What does the ' simplis options' section cover?,simplis example
What does the ' multistep and monte carlo ' section cover?,multistep monte carlo
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' comparison between simetrix and simplis ' section cover?,comparison simetrix simplis multistep analysis modes offered simetrix simulation mode achieve end result simplis multistep modes method implementation quite different simetrix multistep analyses implemented within simulator simplis multistep analyses implemented front end using scripting language different approaches trade speed exibility approach used simplis exible used simetrix faster
What does the ' setting up a simplis multistep parameter analysis ' section cover?,setting multistep sensitivity analysis select schematic menu simulator choose analysis select ac dc noise transient tf tab required dene analysis required monte carlo multistep analysis group check enable multistep box press dene button open
What does the ' setting up a simplis monte carlo analysis ' section cover?,multistep monte carlo
What does the ' multicore multistep simplis analyses ' section cover?,multistep analyses
What does the ' tolerances and distribution functions ' section cover?,tolerances distribution functions distribution functions tolerances dened using distribution functions simplis monte carlo three functions available dened function name description gausstol returns random mean
What does the ' monte carlo log file ' section cover?,monte carlo log file monte carlo analysis run log le created details device values changed changed two versions log le created one plain text called simplismcloglog html format called simplismcloghtml view html log le select menu monte carlo view log file example shown
What does the ' monte carlo seed values' section cover?,monte carlo seed values introduction random values used monte carlo analysis generated using pseudorandom number generator generates sequence numbers appear random statistical properties random numbers however sequence used fact repeatable setting dened seed value sequence generated always long starting seed value used makes possible repeat specic monte carlo step long seed value known simetrixsimplis explicitly sets random seed value start monte carlo run records le facility exists explicitly set seed value instead using random seed makes possible repeat specic step useful cases one monte carlo steps show unexplained behaviour investigation needed also useful wish nd values parts used particular monte carlo step finding seed value nd seed value particular step follow procedure run normal monte carlo without seed denition done already find run number result whose seed require repeat step nd run number plotted waveform monte carlo run plot result normal position small cursor curve interest run number displayed status bar right
What does the ' performance analysis and histograms ' section cover?,performance analysis histograms
What does the ' backannotation' section cover?,backannotation
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' how to backannotate a schematic' section cover?,backannotate schematic simply select menu simulator initial conditions backannotate notice second two activity schematic operation complete note simetrixsimplis distinguish initial conditions backannotated initial conditions applied manually running backannotation algorithm able restore initial condition value set however use undo normal way fact backannotation operation reversed single undo operation
What does the ' disableenable initial conditions ' section cover?,disableenable initial conditions disable initial conditions select menu simulator initial conditions disable note disable initial conditions dened top level ones backannotated reenable use menu simulator initial conditions enable
What does the ' backannotation errors ' section cover?,backannotation
How can  editing backannotated initial conditions  be edited?,editing backannotated initial conditions change value backannotated initial condition depends device device already user editable initial condition simply use standard method capacitors
What does the ' how does it work ' section cover?,power supplyfixed current source select menu place voltage sources power supply place current sources dc source place xed voltage current source devices work simetrix simplis modes
What does the ' hierarchical blocks and subcircuits ' section cover?,subcircuits
What does the 'graphs probes and data analysis' section cover?,exportingimporting graphs data
What does the ' elements of the graph window ' section cover?,elements graph window
What does the ' main window' section cover?,main window
What does the ' windows and tabbed sheets' section cover?,windows tabbed sheets normally new graphs created within window tabbed sheet row tabs appear top graph window allowing select graph wish view also create new
What does the ' graph toolbar ' section cover?,graph toolbar shows function buttons graph toolbar referred following sections
What does the ' fixed vs random' section cover?,fixed vs random graph window using menu file new graph create empty window may add new graphs
What does the ' fixed probes' section cover?,fixed probes
What does the ' fixed probe options' section cover?,fixed probes several types xed probe three commonly used probes voltage plots voltage net current plots current device pin differential voltage plots voltage difference two points simply schematic symbols special properties place xed probe schematic voltage current point place probe plotted time run simulation probes wide range options set double clicking options covered detail section fixed probes xed probes available addition described see fixed probes details fixed voltage probes place schematic single hot key b one menus probe place fixed voltage probe place probe voltage probe schematic popup probe voltage hint place probe immediately existing schematic wire simetrix try deduce meaningful name related connected place probe empty location name default eg probenode wont meaningful probably wish subsequently edit fixed current probes place schematic single hot key u one menus probe place fixed current probe place probe current probe schematic popup probe current
What does the ' curve history' section cover?,curve history curves created xed probes store history viewed time picture shows current result one previous result displayed default waveform viewer store current result three previous results many previous results actually displayed may changed number ways history depth setting probe dialog menus curve history set depth curves curve history set depth selected curves set displayed history depth curve already plotted menus display dialog box
What does the ' fixed bus probe options' section cover?,bus probe options following describes options available random xed bus probes options set using dialog box shown see probing buses fixed probe options details plotting buses
What does the ' using fixed probes in hierarchical designs' section cover?,using fixed probes hierarchical designs fixed probes may successfully used hierarchical designs placed child schematic plot produced instances child labels curve prexed child reference
What does the ' adding fixed probes after a run has started ' section cover?,fixed probes
What does the ' percycle probes' section cover?,fixed probes following timing measurements supported percycle basis frequency period duty cycle time time percycle amplitude measurements percycle measurement also applied amplitude input voltage current example plot mean value switching power converter output mean value calculated percycle basis example show mean value converter output voltage plotted percycle manner gate voltage used determine timing edge information
What does the ' xy probes ' section cover?,xy probes xy probes plot two curves xy plot input either differential voltage inline current curves output graph axis xy probes available simetrix simplis xy probe specication shown following table xy probes model name xy probe simulator device compatible simetrix simplis simulators part selector location probes xy probes symbol library connectionsxslb symbols multiple selections multiple probes selected edited simultaneously editing xy probe congure xy probe follow steps double click symbol schematic open editing dialog probe options tab make appropriate changes three tabs explained xy probe options following tab allows dene general probe options explained table
What does the ' bode plot probe with measurements' section cover?,bode plot probe measurements bode plot probe measurements generates plots gain phase ratio two voltages probe congured plot gain phase gain phase summary bode plot probe measurements model name bode plot probe simulator device compatible simetrix simplis simulators schematic menu probe acnoise bode plot probe measurements parts selector probes bode plot probe measurements symbol library connections model file none symbol
What does the ' bode plot probebasic version' section cover?,bode plot probe basic version connects input output circuit plot gain phase sophisticated bode plot probe provides wide range options along display useful measurements also available recommended applications see bode plot probe measurements basic version useful quick checks compatibility versions
